"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1",".33uf","~","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","1",""
"C2",".01uf","~","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm","1",""
"C3","100nf","~","Capacitor_THT:C_Radial_D4.0mm_H7.0mm_P1.50mm","1",""
"J1","SSD1306","~","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","1",""
"NegBatt1,NegDevice1,PosBatt1,PosDevice1","Conn_01x01","~","1_Custom_Pads:bhm_large_power_pad","4",""
"R1","10k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"R2,R3,R4,R5","300k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","4",""
"R6","22k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"R7","220k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"SENS1",".01","~","Resistor_SMD:R_2816_7142Metric_Pad3.20x4.45mm_HandSolder","1",""
"U1","LM358","http://www.ti.com/lit/ds/symlink/lm2904-n.pdf","Package_DIP:DIP-8_W7.62mm","1",""
"U2","ATtiny45-20P","http://ww1.microchip.com/downloads/en/DeviceDoc/atmel-2586-avr-8-bit-microcontroller-attiny25-attiny45-attiny85_datasheet.pdf","Package_DIP:DIP-8_W7.62mm","1",""
"U3","LM78L05_TO92","https://www.onsemi.com/pub/Collateral/MC78L06A-D.pdf","Package_TO_SOT_THT:TO-92_Inline","1",""
